EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME
010550649,UNITED LOT OWNERS OF CAMBRIA,% JAMES ENSLEY,4217 JORY TRL,LAS VEGAS,NV,89108-5210,0000,04,3,3000,200305,2,00,000000000,5,01,202012,0,0,02,0,12,0,0,0,L50,
010562781,TORTIE FOUNDATION,% STEPHEN F WITORT,6554 CHAMPETRE CT,RENO,NV,89511-5077,0000,03,3,1000,200305,1,04,000000000,1,01,202009,3,1,00,1,09,41180,2378,,T20,
010564549,SECOND MISSIONARY BAPTIST CHURCH OF PAHRUMP,,3651 HOMESTEAD RD,PAHRUMP,NV,89048-6416,0000,03,3,7000,200205,1,10,000000000,1,01,,0,0,06,0,12,,,,X21,
010588006,NEVADA ROCK ART FOUNDATION,,PO BOX 2082,SPARKS,NV,89432-2082,0000,03,3,1200,200206,1,15,000000000,1,01,201912,3,1,02,0,12,30072,4148,4148,A40,
010592377,LIGHTHOUSE OF FAITH MINISTRIES,% JUAN GUTIERREZ,PO BOX 363406,N LAS VEGAS,NV,89036-7406,0000,03,3,7000,200506,1,10,000000000,1,01,,0,0,06,0,12,,,,X20,
010596229,NEW DAY CHRISTIAN CHURCH INC,% LEROY ROYBAL,7948 CAPE BRETT ST,LAS VEGAS,NV,89131-4602,0000,03,3,7100,200209,1,10,000000000,1,01,,0,0,06,0,12,,,,X20,
010633884,MISSIONARY CHURCH IN CHRIST,% FRANCISCO ALCANTARA,145 HUBBARD WAY,RENO,NV,89502-3708,0000,03,3,7000,200301,1,10,000000000,1,01,,0,0,06,0,12,,,,X990,
010640027,MGM RESORTS FOUNDATION,,980 KELLY JOHNSON DR,LAS VEGAS,NV,89119-3785,0000,03,3,1000,200209,1,15,000000000,1,01,202112,7,6,01,0,12,8536909,3299793,3299793,T30,
010642229,WINNEMUCCA REGIONAL RACEWAY ASSOCIATION,,PO POX 2331,WINNEMUCCA,NV,89446-0000,0000,04,3,3000,201409,2,00,000000000,1,01,202112,2,4,01,0,12,18564,155573,155573,N50,
010655941,MELLOWTONES BIG BAND INC,% KURT SWANSON,5205 CORAL GLOW CT,LAS VEGAS,NV,89149-6415,0000,04,3,1000,200311,2,00,000000000,1,01,202112,0,0,02,0,12,0,0,0,A99,MELLOWTONES BIG BAND
010706776,VOICE OF TRUTH APOSTOLIC CHURCH,% REV BILL HILTON JR,3030 E COUGAR ST,SILVER SPGS,NV,89429-7661,1621,03,9,7000,196402,1,10,001000000,5,01,,0,0,06,0,12,,,,,LANDMARK OF TRUTH
010709556,EAA CHAPTER 1361 INC,% TRACY RHODES,PO BOX 61228,RENO,NV,89506-0024,0000,03,3,1200,201608,1,15,000000000,1,01,202112,0,0,02,0,12,0,0,0,M40,
010722781,PTA NEVADA CONGRESS WALKER INTERNATIONAL SCHOOL PTA,,850 SCHOLAR ST,HENDERSON,NV,89002-6588,0000,03,3,1000,202102,1,16,059035000,5,01,,0,0,02,0,06,,,,,
010738489,PTA NEVADA CONGRESS,% TAMMIE IBACH,1155 E RICHMAR AVE,LAS VEGAS,NV,89123-3808,2044,03,9,2000,196910,1,16,059035000,5,01,202106,0,0,02,0,06,0,0,0,,ROGER GEHRING ELEMENTARY SCHOOL PTA
010761645,PRAYER CATHEDRAL INTERNATIONAL,% CARMEN RODGERS,4500 RED CIDER LN,LAS VEGAS,NV,89130-5152,0000,03,3,7000,200412,1,10,000000000,1,01,,0,0,06,0,12,,,,X21,
010774114,GOVERNMENT INVESTMENT OFFICERS ASSOCIATION,% RICHARD PHILLIPS,10655 PARK RUN DR STE 120,LAS VEGAS,NV,89144-4592,0000,03,3,2000,200603,1,15,000000000,1,01,202112,4,4,01,0,12,395669,205049,205049,W032,
010785223,AMERCIAN LEGION,% JERRY FINLEY,556 SHADOW LN,FERNLEY,NV,89408-7501,0925,19,9,1000,194603,1,00,907908000,5,01,202112,0,0,02,0,12,0,0,0,,37 GERALD C DANIEL
010797648,AMATI FOUNDATION,% WILLIAM M TOWNSEND,8317 BROAD PEAK DR,LAS VEGAS,NV,89131-4308,0000,03,3,1000,200312,1,15,000000000,1,01,202012,4,1,02,0,12,278358,4770,4770,A68,
010815981,STILLWATER FIREARMS ASSOCIATION,% MS ELYNDA LONG,PO BOX 665,FALLON,NV,89407-0665,0000,07,3,1000,201310,2,00,000000000,1,01,202112,4,3,01,0,12,315202,62591,62591,N50,
010868265,COVENANT OF LOVE UUL CORP,% CHARLENE BYNUM,1100 MARTIN LUTHER KING BLVD STE C,LAS VEGAS,NV,89106-2853,0000,03,3,1000,200711,1,15,000000000,1,01,201912,1,4,01,0,12,4940,392489,392489,I40,COVENANT OF LOVE-TRANSITIONAL HOME
010881587,SIERRA NEVADA JOURNEYS,,PO BOX 1631,RENO,NV,89505-1631,0000,03,3,2100,200703,1,15,000000000,1,01,202012,7,7,01,0,12,7761431,7665308,7664344,O50,
010884909,HIGH DESERT CHRISTIAN CENTER INC,% ROBERT BAGLEY,95 CHACON CT,SPARKS,NV,89441-6242,0000,03,3,7000,197802,1,10,000000000,1,01,,0,0,06,0,12,,,,,
010886100,RCS ROTARY FOUNDATION INC,% LARIE TRIPPET,355 SUNSET SPRINGS LN,SPARKS,NV,89441-5561,0000,03,3,1000,200907,1,15,000000000,1,01,202112,0,0,02,0,12,0,0,0,B82,
010886335,THE LAS VEGAS CHAPTER OF THE SOCIETY INC,,4104 CATHEDRAL FALLS AVE,N LAS VEGAS,NV,89085-4470,0000,03,3,1000,201407,1,15,000000000,5,01,201912,0,0,02,0,12,0,0,0,A23,LAS VEGAS CHAPTER
010893313,YOUTH CAMP EDUCATION,% GERALD CRAWFORD SR,6782 HYLA ROMAN AVE,LAS VEGAS,NV,89131-2247,0000,03,3,1200,201304,1,15,000000000,1,01,202112,0,0,02,0,12,0,0,0,O50,
010893463,NORTHERN NEVADA REGIONAL ANIMAL CENTER,% DEBORAH LARSON,3624 COUNTY LINE RD,CARSON CITY,NV,89703-9522,0000,03,3,4000,200810,1,15,000000000,1,01,202112,0,0,02,0,12,0,0,0,D20,
010901343,GIRLS ON THE RUN-SIERRAS,% JENNIFER BOSSIN,100 CALIFORNIA AVE STE 210,RENO,NV,89509-1686,0000,03,3,2100,200807,1,15,000000000,1,01,202106,4,4,01,0,06,221018,164479,162458,O50,
