EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME
010560970,TUNNEY FOUNDATION,% DORIS F TUNNEY MD DIRECTOR,PO BOX 909,HAILEY,ID,83333-0901,0000,03,3,1000,200203,1,04,000000000,1,01,202212,5,3,00,1,12,811062,62082,,T22,
010596311,HOMEDALE BIBLE MISSIONARY CHURCH,,201 S 7TH ST W,HOMEDALE,ID,83628-3311,1449,03,9,7000,195709,1,10,001000000,5,01,,0,0,06,0,12,,,,,
010603720,HEART TO HEART PETS WITH A PURPOSE INC,% NO,723 RANDOLPH AVE,POCATELLO,ID,83201-3767,0000,03,3,1000,201205,1,15,000000000,1,01,201912,0,0,02,0,12,0,0,0,P20,
010656490,PREVENTION SPECIALIST CERTIFICATION BOARD OF WASHINGTON STATE,% ELIZABETH A WILHELM,122 16TH AVE,LEWISTON,ID,83501-2218,0000,06,3,2000,201608,2,00,000000000,1,01,202212,0,0,02,0,12,0,0,0,S41,
010691782,MOSES SONG MINISTRIES,% DERROL SAWYER,PO BOX 1862,BONNERS FERRY,ID,83805-1862,0000,03,3,1700,200209,1,15,000000000,1,01,202212,0,0,02,0,12,0,0,0,X20,SAWYER CYNTHIA SECRETARY
010720150,IDAHO VIRTUAL ACADEMY INC,,1965 S EAGLE RD STE 190,MERIDIAN,ID,83642-9246,0000,03,3,2000,200304,1,15,000000000,1,01,202206,8,8,01,0,06,13523804,19379134,19379134,B40,
010768390,WILDERNESS RANCH FIREFIGHTERS ASSOCIATION INC,% RICHARD K MURRAY,421 RIMVIEW DR,BOISE,ID,83716-3141,0000,03,3,1000,200403,1,15,000000000,1,01,202209,0,0,02,0,09,0,0,0,M24,
010791915,NAMPA CHEER STARS,% JACKIE HAMMRICH,3784,NAMPA,ID,83653-0000,0000,03,3,1200,200503,1,16,000000000,5,01,202003,0,0,02,0,03,0,0,0,N116,
010874048,INTERNATIONAL RAFTING FEDERATION,% MARK I JOFFE,1512 N 6TH ST,BOISE,ID,83702-3709,0000,04,3,1000,200804,2,00,000000000,1,01,202012,3,2,02,0,12,53097,22501,22501,S41,IRF
010886085,OLD FAITHFUL CHRISTIAN RANCH INC,% STEPHEN NELSON,145 6TH ST,IDAHO FALLS,ID,83401-4705,0000,03,3,1000,200811,1,15,000000000,1,01,202112,5,4,01,0,12,618350,232784,232784,X192,
010904398,SOUPER SUPPER DINING ROOM INC,% DORA LEVIN,PO BOX 4197,KETCHUM,ID,83340-4101,0000,03,3,1000,200710,1,15,000000000,1,01,202012,0,0,02,0,12,0,0,0,K35,
010917854,LIBRI SYSTEM INC,% JULIE WOODFORD,100 1ST AVE E,JEROME,ID,83338-2302,0000,03,3,1000,201002,1,15,000000000,1,01,202109,0,0,02,0,09,0,0,0,P20,
010944516,THE@FOUNDATION FOR COMMUNITY DEVELOPMENT AND EMPOWERMENT,% ERIC YOUNGER,PO BOX 6560,KETCHUM,ID,83340-6560,0000,03,3,1000,201103,1,15,000000000,1,01,202112,4,4,01,0,12,195605,365750,365750,P20,FCDE
