EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME
010571875,RIVER OF LIFE COMMUNITY CHURCH,% JILL FRICK,120 S MAIN ST,CANTON,SD,57013-2243,2269,03,9,7000,197204,1,10,001059349,5,01,,0,0,06,0,12,,,,,
010581479,NORTHERN LIGHT OUTREACH CENTER,% JEAN DONNER,1829 E 34TH ST N,SIOUX FALL,SD,57104-5432,0000,03,3,1000,200211,1,10,000000000,1,01,,0,0,06,0,12,,,,X20,
010635931,RUSHMORE CHAPTER OF ABATE INC,% KIM LOGSDON,PO BOX 1223,RAPID CITY,SD,57709-1223,0000,04,3,1000,201502,2,00,000000000,1,01,202212,0,0,02,0,12,0,0,0,T40,
010637738,LIVING WATER CHRISTIAN FELLOWSHIP,% RODGER WENZLAFF,413 W 15TH ST,YANKTON,SD,57078-2806,0000,03,3,7000,200311,1,10,000000000,1,01,,0,0,06,0,12,,,,X21,
010647550,BELLS OF THE HILLS INC,% MARGARET A BOSCH,4071 VALLEY WEST DR,RAPID CITY,SD,57702-3158,0000,03,3,2700,200209,1,15,000000000,1,01,202206,0,0,02,0,06,0,0,0,A6C,
010662458,ENCOUNTERS ON THE PRAIRIE-SD CHPT OF LEWIS & CLARK TRAIL HERITAGE,% WILLIAM ROBERT STEVENS,PO BOX 8,PIERRE,SD,57501-0008,0000,03,3,1200,201407,1,15,000000000,1,01,202209,0,0,02,0,09,0,0,0,A70,
010710918,MAIN STREET LIVING INC,% JOANN MEYER,1400 S DULUTH AVE,SIOUX FALLS,SD,57105-1711,0000,03,3,7000,200309,1,15,000000000,1,01,202212,6,4,01,0,12,1070793,359714,359714,X20,
010753802,MCINTOSH VOLUNTEER FIRE DEPARTMENT AMBULANCE SERVICE INC,% TERESA DILLMAN,PO BOX 174,MC INTOSH,SD,57641-0174,0000,03,3,2000,200808,1,16,000000000,1,01,202212,0,0,02,0,12,0,0,0,M20,
010774512,H&M SERVICES INC,% HENRY OLIVIER,PO BOX 4082,RAPID CITY,SD,57709-4082,0000,03,3,1000,201109,1,16,000000000,1,01,202112,0,0,02,0,12,0,0,0,E19,
010811050,ENNING FIRE DEPARTMENT,% JOHN J LONG,PO BOX 24,ENNING,SD,57737-0024,0000,03,3,6000,201104,1,15,000000000,1,01,202212,0,0,02,0,12,0,0,0,M24,
