EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME
010565518,DESERT LIGHT CHRISTIAN CHURCH,,541 UTAH ST NE,ALBUQUERQUE,NM,87108-2491,0000,03,3,7000,200306,1,10,000000000,1,01,,0,0,06,0,12,,,,X21,
010576324,STEVAN & CYNTHIA PEARCE CHARITABLE FOUNDATION,% STEVAN PEARCE,PO BOX 1830,HOBBS,NM,88241-1830,0000,03,3,2000,200305,1,04,000000000,1,01,202209,6,5,00,1,09,1174796,534585,,T30,
010592052,LIFE FOUNDATION MINISTRIES,% JAMES HUMPAL,PO BOX 1160,BERNALILLO,NM,87004-1160,0000,03,3,1000,200312,1,15,000000000,3,01,202212,0,0,02,0,12,0,0,0,X990,
010598548,WATERFALL COMMUNITY WATER USERS ASSOCIATION,% RONALD H WRIGHT,PO BOX 712,CLOUDCROFT,NM,88317-0712,0000,12,3,1000,201407,2,00,000000000,1,01,202205,3,3,01,0,05,26041,69829,69829,W80,
010603904,ALL ABOUT GOD MINISTRIES INC,% RANDALL NILES,PO BOX 63,BELEN,NM,87002-0063,0000,03,3,7200,200307,1,15,000000000,1,01,202212,3,4,01,0,12,26312,308571,308571,X800,
010614084,CAVERN CITY CHURCH OF CHRIST,,PO BOX 1941,CARLSBAD,NM,88221-1941,0000,03,3,7100,200308,1,10,000000000,1,01,,0,0,06,0,12,,,,X212,
010659973,ABIDING IN CHRIST MINISTRIES INC,% STUART COLEMAN,2108 MARIE PARK DR NE,ALBUQUERQUE,NM,87112-3639,1620,03,9,7000,196402,1,10,001029000,5,01,,0,0,06,0,12,,,,,
010672526,VOLUNTEER TASK FORCE INC,% CRAIG MARTIN,3100 ARIZONA AVE,LOS ALAMOS,NM,87544-1516,0000,03,3,1200,200211,1,15,000000000,1,01,202112,0,0,02,0,12,0,0,0,C34,
010720459,LOS PUEBLOS COMMUNITY COUNCIL,,PO BOX 465,RIBERA,NM,87560-0465,0000,03,3,1000,202006,1,15,000000000,1,01,202112,0,0,02,0,12,0,0,0,T19,
010734317,FRIENDS OF JEMEZ SPRINGS PUBLIC LIBRARY,% SUSAN DONOVAN,PO BOX 16,JEMEZ SPRINGS,NM,87025-0016,0000,03,3,1000,200403,1,16,000000000,1,01,202212,0,0,02,0,12,0,0,0,B70,
010739048,ENVIROLOGICAL SERVICES LLC,% MARIANNE WOOTTEN,8109 WAVERLY DR NW,ALBUQUERQUE,NM,87120-3811,0000,03,3,1000,200308,1,16,000000000,1,01,202112,0,0,02,0,12,0,0,0,C32,MERSHON MARIANNE MEMBER
010776195,DEMING ANIMAL GUARDIANS,% DIANA L BELL,PO BOX 1275,DEMING,NM,88031-1275,0000,03,3,4000,200710,1,15,000000000,1,01,202112,4,4,01,0,12,200912,305626,305626,D20,
010780925,ROSWELL CHRISTIAN CENTER INC,% JERRY CHAPMAN,109 E CHARLESTON RD,ROSWELL,NM,88203-0803,0000,03,3,7000,200308,1,10,000000000,1,01,,0,0,06,0,12,,,,X20,
010814995,ROTARY SOUTH VALLEY CHARITIES,% GARRETT HENNESSY,3150 CARLISLE BLVD NE STE 211,ALBUQUERQUE,NM,87110-1689,0000,03,3,1000,200408,1,15,000000000,1,01,202206,3,3,01,0,06,70122,66505,46513,T30,
010815203,NEW BEGINNINGS CHURCH OF GOD,% RICHARD A MANSFIELD,4770 MONTGOMERY BLVD NE STE B110,ALBUQUERQUE,NM,87109-1241,1489,03,9,7000,196007,1,10,001268000,1,01,,0,0,06,0,12,,,,,
