EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME
010442171,NATHANIEL HAWTHORNE SOCIETY,,906 E 1ST ST,THIBODAUX,LA,70301-6701,0000,03,3,1000,199001,1,15,123000000,5,01,202212,0,0,02,0,12,0,0,0,,
010550123,LOUISIANA OUTSIDE COUNSEL HEALTH AND ETHICS FOUNDATION,% DREW RANIER,PO BOX 12789,LAKE CHARLES,LA,70612-2789,0000,03,3,1000,200207,1,04,000000000,1,01,202212,1,4,00,1,12,1,187500,,T90,
010554139,BATON ROUGE CAPITAL CONFLICT OFFICE INC,% DAVID PRICE,525 FLORIDA ST STE 310,BATON ROUGE,LA,70801-1732,0000,03,3,1000,200205,1,15,000000000,1,01,202212,5,6,01,0,12,950587,1332798,1332798,I80,
010558440,FRIENDS OF ARTS COUNCIL OF GREATER DENHAM SPRINGS INC,% PART HAUSSLER,133 HUMMELL STREET,DENHAM SPRINGS,LA,70726-0000,0000,03,3,1000,200304,1,15,000000000,1,01,202212,4,6,01,0,12,292807,1276487,640425,A26,GREATER DENHAM SPRINGS INC ART CNCL
010558998,INTERFAITH COUNCIL ON NEEDS ST LANDRY INC,% DANA REED,186 CYPRESS DR,OPELOUSAS,LA,70570-0000,0000,03,3,1000,200203,1,15,000000000,1,01,202212,4,4,01,0,12,121929,103381,103381,P60,
010560277,LABORERS ABOUT THE MASTERS BUSINESS MINISTRIES INTERNATIONAL,,5127 LAUREL ST,NEW ORLEANS,LA,70115-1837,0000,03,3,1000,200712,1,15,000000000,1,01,202112,4,4,01,0,12,200517,254389,254389,,MCENERY HENRY A III
010561988,ASSESS THE NEED,% TROY D JONES CPA,PO BOX 307,LIVINGSTON,LA,70754-0307,0000,03,3,1000,200302,1,15,000000000,1,01,202212,3,3,01,0,12,78730,81278,76969,B99,
010578178,OAKS MIDDLE SCHOOL,% TERI BICKHAM,43283 S RANGE RD,HAMMOND,LA,70403-6374,0000,03,3,2000,200207,1,11,000000000,1,01,202306,0,0,02,0,06,0,0,0,B25,
010587738,LIBERTY PRESCHOOL AND CHRISTIAN ACADEMY,% DEBRA GERARD,603 MAIN ST,LAPLACE,LA,70068-4515,0000,03,3,2000,202202,1,11,000000000,1,01,202212,0,0,02,0,12,0,0,0,B20,
010587847,TOTAL ARMOUR OF GOD,% JAMES K MILLSAPS,PO BOX 2061,HARVEY,LA,70059-2061,0000,03,3,7000,200304,1,10,000000000,1,01,,0,0,06,0,12,,,,X20,
010593546,TIOGA HISTORICAL SOCIETY,% JIMMIE LEWIS,PO BOX 151,TIOGA,LA,71477-0151,0000,03,3,2000,200208,1,15,000000000,1,01,202212,0,0,02,0,12,0,0,0,A80,
010594976,NATIONAL ASSOCIATION FOR THE ADVANCEMENT OF COLORED PEOPLE,% NATHANIEL THIERRY,1645 DUPRE RD,OPELOUSAS,LA,70570-1024,1531,04,9,1300,196111,2,00,430059480,5,01,,0,0,01,0,12,,,,Z99Z,6088 ST LANDRY BRANCH NAACP
010605461,LOUISIANA GASTROENTEROLOGY SOCIETY INC,,2117 VETERANS MEMORIAL BLVD 120,METAIRIE,LA,70002-6321,0000,06,3,2000,200209,2,00,000000000,1,01,202212,0,0,02,0,12,0,0,0,E03,
010606523,NEW DAY DELIVERANCE HOLINESS CHURCH OF ALEXANDER INC,% JEANNIE WILLIAMS,P O BOX 54,ALEXANDRIA,LA,71309-0000,0000,03,3,7000,201103,1,10,000000000,1,01,202012,0,0,06,0,12,0,0,0,X21,
010635750,LOUISIANA STATE ASSEMBLY OF AST,% BRYAN WILLE,PO BOX 60445,LAFAYETTE,LA,70596-0445,0000,06,3,1000,200306,2,00,000000000,1,01,202212,0,0,02,0,12,0,0,0,E03,
010637415,NEW ORLEANS CRAFT TEMPLE FOUNDATION INC,% DR ERIC C HAHN,2804 KEITH WAY DR,HARVEY,LA,70058-1921,0000,03,3,2100,200209,1,15,000000000,1,01,202303,0,0,02,0,03,0,0,0,A50,
010648681,LOUISIANA OIL & GAS MUSEUM FOUNDATION INC,% GREGORY MARCANTEL,PO BOX 1254,JENNINGS,LA,70546-1254,0000,03,3,2000,200407,1,15,000000000,1,01,202212,0,0,02,0,12,0,0,0,A57,
010648757,MARINE CORPS LEAGUE,% RONNIE BROUSSARD,207 LAZY CREEK DRIVE,LAFAYETTE,LA,70506-0000,0955,04,9,3000,194607,1,00,908279265,5,01,202306,0,0,02,0,06,0,0,0,W30,488 ACADIANA DET MCL
010657733,UPPER ROOM CHURCH,% CONCETTA MCNEAL,PO BOX 1703,BASTROP,LA,71221-1703,0000,03,3,1700,202106,1,16,000000000,1,01,,0,0,02,0,12,,,,X20,
010669825,CLASS OF 83 THANKSGIVING DRIVE INC,% LUIS I INGLES III CPA APAC,102 SYCAMORE DR,METAIRIE,LA,70005-4025,0000,03,3,1000,200302,1,15,000000000,1,01,202112,0,0,02,0,12,0,0,0,P20,
010688260,STRONG TOWER CHRISTIAN CENTER,% PATRICIA MOORE,PO BOX 861,AMITE,LA,70422-0861,0000,03,3,7000,200311,1,10,000000000,1,01,,0,0,06,0,01,,,,X21,
010690305,ROAD RUNNERS CLUB OF AMERICA,% DIANE WEISS,49 KAREN DR,COVINGTON,LA,70433-0915,2702,03,9,1000,197603,0,15,300288000,5,01,202212,0,0,02,0,12,0,0,0,,15TH STREET FLYERS
010693999,CRIMSON BAND BOOSTER CLUB,% PRESDENT,PO BOX 2585,MANDEVILLE,LA,70470-2585,0000,03,3,1200,201801,1,16,000000000,5,01,202206,3,4,01,0,06,45223,201729,196384,A12,
010709703,INTERNATIONAL ASSOCIATION OF MACHINISTS & AEROSPACE WORKERS,% GIZZELLE BOZONIER,60419 DOSS DR SUITE B,SLIDELL,LA,70460-0000,0264,05,9,3000,194012,0,00,000000000,5,01,202212,0,0,02,0,12,0,0,0,,1904 NFFE FL I A M & A W
010712701,SAINT JOSEPH MINISTRIES INCORPORATED,% ARNOLD WYKOFF,716 1ST AVENUE,FENTON,LA,70640-0000,0000,03,3,1000,200207,1,15,000000000,1,01,202212,1,1,02,0,12,9114,9377,0,P20,
010722568,CROSSROADS PREGNANCY RESOURCE CENTER,% ADRIENNE NAQUIN BOUTON,105 SAINT LOUIS ST,THIBODAUX,LA,70301-3027,0000,03,3,2000,200209,1,15,000000000,1,01,202207,4,4,01,0,07,343751,345420,343370,P40,
010727873,FAITH HOPE & LOVE FELLOWSHIP INC,% RONALD E HARDY SR,PO BOX 1639,ST FRANCISVLE,LA,70775-1639,0000,03,3,7000,200303,1,10,000000000,1,01,,0,0,06,0,12,,,,X21,
010728832,LAKE AREA ATHLETIC TRAINERS ASSOCIATION INC,% JAMES MURPHY,4407 EILEEN ST,LAKE CHARLES,LA,70605-4231,0000,03,3,2000,200305,1,16,000000000,1,01,202212,0,0,02,0,12,0,0,0,B99,
010735313,FAITH MISSIONARY BAPTIST CHURCH,% DEACON CHARLES E JACKSON,1706 SEVERINE ST,SHREVEPORT,LA,71108-3024,0000,03,3,7100,200505,1,10,000000000,0,01,,0,0,06,0,12,,,,X21,
010740202,MARINE CORPS LEAGUE NATIONAL HEADQUARTERS,,PO BOX 1451,SLIDELL,LA,70459-0000,0955,04,9,2000,194607,1,00,908279265,5,01,202306,4,1,02,0,06,213010,6948,6882,,748 JAN F HURSEY DETACHMENT OF MARI
010741625,FAITH CITY MINISTRIES INC,% PASTOR LEE A CONDOLLE,PO BOX 3614,HOUMA,LA,70361-3614,0000,03,3,7000,200304,1,10,000000000,1,01,,0,0,06,0,12,,,,X20,
010746959,LOUISIANA INSTITUTE OF ARTS OF HUMANITIES LIAH INC,% LEONA MAE BURRELL,8055 SANTA BARBARA DR,BATON ROUGE,LA,70811-4136,0000,03,3,1230,201710,1,16,000000000,1,01,202212,0,0,02,0,12,0,0,0,A20,
010758298,DELTA SIGMA THETA SORORITY,% ROSE ROCHE,PO BOX 965,NEW ROADS,LA,70760-0965,1188,07,9,1000,195207,2,00,036040319,5,01,,0,0,01,0,06,,,,,LOUISIANA TRI-PARISH ALUMNAE
010759127,SHREVEPORT SCOTTISH RITE FOUNDATION INC,,PO BOX 64,SHREVEPORT,LA,71161-0064,0000,03,3,1000,200305,1,15,000000000,1,01,202212,6,2,02,0,12,1992739,24630,24630,A80,
010763297,ANTIOCH A FULL GOSPEL BAPTIST CHURCH,% CATHY BRATTON,5247 FORD ST,BATON ROUGE,LA,70811-5620,0000,03,3,7000,200804,1,10,000000000,1,01,,0,0,06,0,12,,,,X21,
010765610,EMMANUEL INTERNATIONAL MINISTRY,% DEMETRIS BRADY,4546 NORTH ST APT 5247,BATON ROUGE,LA,70806-3404,0000,03,3,7100,200602,1,10,000000000,1,01,,0,0,06,0,12,,,,X20,
010772321,F R DOUBLE E OUTREACH MINISTRY,% JARON B LEWIS SR,7716 HWY 182 STE 102,MORGAN CITY,LA,70380-2313,0000,03,3,7000,200503,1,10,000000000,1,01,,0,0,06,0,12,,,,X21,FREE OUTREACH MINISTRY
010777876,GRACE POINT CHURCH INCORPORATED,% VERNELL ALEXANDER,2910 MERIWETHER RD,SHREVEPORT,LA,71108-5402,0000,03,3,7000,200407,1,10,000000000,1,01,,0,0,06,0,12,,,,X20,
010787618,L S U TRACK & FIELD OFFICIALS ASSOCIATION,% PAUL W STELLY,LSU BOX 18316,BATON ROUGE,LA,70803-0001,0000,03,3,1200,200404,1,16,000000000,1,01,202306,4,4,01,0,06,115944,162592,162592,B80,
