EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME
010564885,VALDEZ JUNIOR RIFLE CLUB,% DEBBIE LARCOM,PO BOX 3008,VALDEZ,AK,99686-3008,0000,03,3,1200,202312,1,15,000000000,5,01,202412,0,0,02,0,12,0,0,0,N99,
010639455,PAVVA INUPIAQ DANCERS,% CHARLES SEAN TOPKOK,4783 DRAKE ST,FAIRBANKS,AK,99709-3009,0000,03,3,2000,200502,1,15,000000000,1,01,202412,0,0,02,0,12,0,0,0,A84,
010704433,ALASKA MOBILITY COALITION,% PATRICK REINHART,PO BOX 1612,HOMER,AK,99603-1612,0000,03,3,1000,200209,1,15,000000000,1,01,202506,0,0,02,0,06,0,0,0,W01,
010718551,CHURCH OF CHRIST AT WASILLA INC,% EDDIE MAXWELL,2630 N JASPER DR,WASILLA,AK,99654-3400,0000,03,3,7000,200304,1,10,000000000,1,01,,0,0,06,0,12,,,,X21,
010828753,LADY WOLVERINES SOCCER BOOSTER CLUB,% LEEANNE OSGOOD,13400 ELMORE RD,ANCHORAGE,AK,99516-3607,0000,03,3,1000,200509,1,15,000000000,5,01,202312,0,0,02,0,12,0,0,0,B112,
010829469,MIR PARENTS,% MIR,3500 W NORTHERN LIGHTS BLVD,ANCHORAGE,AK,99517-1109,0000,03,3,1000,200510,1,15,000000000,0,01,202406,0,0,02,0,06,0,0,0,A23,
010856925,UNITED STATES BOWLING CONGRESS INC,% MARGUERITE DOWLING,3250 E PALMER WASILLA HWY,WASILLA,AK,99654-7216,4348,03,9,1000,200409,1,16,000000000,1,01,202407,0,0,02,0,07,0,0,0,N70,82323 MAT-SU VALLEY USBC
010867530,MAT-SU MARTIN LUTHER KING JR FOUNDATION INC,% KIM MARIE WALKER,PO BOX 875754,WASILLA,AK,99687-5754,0000,03,3,1200,200701,1,15,000000000,1,01,202412,2,1,02,0,12,16167,8574,8574,B82,
010873044,STRUCTURAL ENGINEERS ASSOCIATION OF ALASKA,% SCOTT GRUHN,PO BOX 243342,ANCHORAGE,AK,99524-3342,0000,06,3,2000,201706,2,00,000000000,1,01,202412,0,0,02,0,12,0,0,0,S41,
010883680,THIS GENERATION MINISTRIES INC,,550 BEAVER BLVD,NORTH POLE,AK,99705-7650,0000,03,3,7000,202212,1,15,000000000,1,01,,4,4,01,0,12,,,,X20,
010896224,AMERICAN LEGION AUXILIARY,% AUDREY SAYLOR,1467 MULDOON RD,ANCHORAGE,AK,99504-2801,0964,19,9,1000,194610,2,00,319907000,5,01,202504,0,0,02,0,04,0,0,0,,29 MULDOON
010897800,CROSSCOUNTRY CHURCH,% MICAH GELATT,7010 E FIREWEED RD,PALMER,AK,99645-5907,1610,03,9,7000,196312,1,10,001002000,5,01,202312,0,0,06,0,12,0,0,0,,
